method,method_display,seed,train_samples,val_samples,test_samples,train_accuracy,val_accuracy,val_loss,test_accuracy,test_top1_accuracy_pct,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,test_loss,preprocess_time_ms_mean,preprocess_time_ms_std,inference_latency_ms_mean,inference_latency_ms_std,throughput_fps,total_params,trainable_params,non_trainable_params,total_training_time_s,total_training_time_h,confusion_matrix,model_path,model_saved_ok
PixelVariance,Pixel Variance (Ours),42,3920,210,210,0.9721938967704773,0.9666666388511658,0.1028938740491867,0.9857142567634583,98.57142857142858,0.9860215053763441,0.9857142857142858,0.9857116394765743,0.986021505376344,0.9857142857142858,0.9857116394765743,0.06175880879163742,56.24080870059385,58.383966651669425,35.71293094753942,4.469299396372687,28.00106217742117,14782279,67591,14714688,8664.864075542006,2.406906687650557,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 1, 29, 0, 0, 0, 0], [0, 0, 0, 29, 1, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 1, 0, 0, 29]]",/Users/arshraj/Desktop/org_motion/letssee/PixelVariance/Models/seed_42_best.keras,True
PixelVariance,Pixel Variance (Ours),123,3920,210,210,0.9711734652519226,0.961904764175415,0.10765888541936874,0.9809523820877075,98.09523809523809,0.9817012288786483,0.980952380952381,0.980940464052075,0.9817012288786482,0.9809523809523809,0.9809404640520749,0.05920770764350891,58.61782440943422,69.51468922504124,35.50928769497356,2.7211376123928765,28.16164628786831,14782279,67591,14714688,6722.312894416013,1.8673091373377813,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [1, 0, 29, 0, 0, 0, 0], [0, 0, 0, 29, 0, 0, 1], [1, 0, 0, 1, 28, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/PixelVariance/Models/seed_123_best.keras,True
PixelVariance,Pixel Variance (Ours),999,3920,210,210,0.9803571701049805,0.9666666388511658,0.075667604804039,0.9809523820877075,98.09523809523809,0.9812490068329891,0.980952380952381,0.9809470884769579,0.9812490068329891,0.9809523809523809,0.9809470884769579,0.07374788820743561,57.33150790460751,69.58610228882041,35.678997799792946,3.516509570880554,28.027693087438774,14782279,67591,14714688,7049.9776932079985,1.9583271370022217,"[[29, 0, 1, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [2, 0, 28, 0, 0, 0, 0], [0, 0, 0, 29, 1, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/PixelVariance/Models/seed_999_best.keras,True
PixelVariance,Pixel Variance (Ours),2025,3920,210,210,0.9686224460601807,0.9571428298950195,0.10984861105680466,0.9857142567634583,98.57142857142858,0.9858573017638647,0.9857142857142858,0.9857103163577184,0.9858573017638645,0.9857142857142858,0.9857103163577183,0.06528592854738235,53.05583688099259,45.87991283487803,35.521447438527716,3.126227825040141,28.152005960077165,14782279,67591,14714688,7264.962788083998,2.0180452189122216,"[[28, 0, 2, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [1, 0, 29, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/PixelVariance/Models/seed_2025_best.keras,True
PixelVariance,Pixel Variance (Ours),777,3920,210,210,0.9721938967704773,0.976190447807312,0.07954002916812897,0.961904764175415,96.19047619047619,0.9641737572772054,0.9619047619047619,0.9618431149259975,0.9641737572772056,0.9619047619047619,0.9618431149259975,0.10198875516653061,56.91715674232304,63.68197504782358,35.89582599524874,3.3265100973603308,27.85839223012621,14782279,67591,14714688,6728.288051625001,1.8689689032291668,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 3, 27, 0, 0, 0, 0], [0, 0, 0, 27, 3, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 2, 0, 0, 28]]",/Users/arshraj/Desktop/org_motion/letssee/PixelVariance/Models/seed_777_best.keras,True
DynamicImage,Dynamic Image,42,3920,210,210,0.9897959232330322,0.9952380657196045,0.025873638689517975,0.9904761910438538,99.04761904761905,0.9907834101382489,0.9904761904761905,0.990473544238479,0.9907834101382489,0.9904761904761905,0.990473544238479,0.039506230503320694,124.24188431967715,84.22945870394322,35.499686138202726,2.967198012702295,28.169263133959298,14782279,67591,14714688,7316.988772416007,2.0324968812266686,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [1, 0, 29, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 1, 29, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/DynamicImage/Models/seed_42_best.keras,True
DynamicImage,Dynamic Image,123,3920,210,210,0.9903061389923096,0.9952380657196045,0.03519805893301964,0.9952380657196045,99.52380952380952,0.9953917050691244,0.9952380952380953,0.9952367721192396,0.9953917050691244,0.9952380952380953,0.9952367721192394,0.023978836834430695,138.10831405689464,99.41793972736487,37.94278273299348,4.311042431882124,26.355473372553703,14782279,67591,14714688,7353.398730333007,2.0426107584258353,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 1, 0, 29, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/DynamicImage/Models/seed_123_best.keras,True
DynamicImage,Dynamic Image,999,3920,210,210,0.9951530694961548,1.0,0.015248732641339302,0.9952380657196045,99.52380952380952,0.9953917050691244,0.9952380952380953,0.9952367721192396,0.9953917050691244,0.9952380952380953,0.9952367721192393,0.023347286507487297,135.46711186160488,99.72068061140263,35.92789801450202,4.060590423407088,27.83352367556704,14782279,67591,14714688,7177.297124375007,1.9936936456597243,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 1, 0, 29]]",/Users/arshraj/Desktop/org_motion/letssee/DynamicImage/Models/seed_999_best.keras,True
DynamicImage,Dynamic Image,2025,3920,210,210,0.9910714030265808,0.9904761910438538,0.02898852899670601,0.9809523820877075,98.09523809523809,0.9815668202764977,0.9809523809523809,0.9807716011339824,0.9815668202764977,0.9809523809523809,0.9807716011339825,0.038151826709508896,125.31763512358468,79.6804692744676,35.46142480973642,2.566680792051076,28.199656538488444,14782279,67591,14714688,7181.319425708993,1.9948109515858312,"[[27, 0, 1, 0, 2, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 1, 29, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/DynamicImage/Models/seed_2025_best.keras,True
DynamicImage,Dynamic Image,777,3920,210,210,0.9926020503044128,0.9904761910438538,0.026190536096692085,0.9904761910438538,99.04761904761905,0.9907834101382489,0.9904761904761905,0.9904735442384789,0.9907834101382489,0.9904761904761905,0.990473544238479,0.038439176976680756,129.01028077702946,96.69360847848041,35.3058245901983,2.9752667443614165,28.32393837581187,14782279,67591,14714688,7159.643475166988,1.9887898542130522,"[[30, 0, 0, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [1, 0, 29, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 1, 0, 0, 0, 29, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/DynamicImage/Models/seed_777_best.keras,True
MeanImage,Mean Image,42,3920,210,210,0.9928571581840515,0.9809523820877075,0.10008922219276428,0.9952380657196045,99.52380952380952,0.9953917050691244,0.9952380952380953,0.9952367721192396,0.9953917050691244,0.9952380952380953,0.9952367721192394,0.059076372534036636,52.784636315690086,54.66502372194258,35.81528016116603,2.905998200774586,27.921043629983522,14782279,67591,14714688,7106.421612333012,1.9740060034258367,"[[29, 0, 0, 0, 1, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/MeanImage/Models/seed_42_best.keras,True
MeanImage,Mean Image,123,3920,210,210,0.9915816187858582,0.9904761910438538,0.026966772973537445,0.9857142567634583,98.57142857142858,0.9861751152073733,0.9857142857142858,0.9857062101267867,0.9861751152073732,0.9857142857142858,0.9857062101267867,0.03323940932750702,56.14650814830037,66.55820516793348,54.200812299608344,9.796548013144267,18.44990799164141,14782279,67591,14714688,7488.611311832996,2.080169808842499,"[[28, 0, 2, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 29, 0, 1, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/MeanImage/Models/seed_123_best.keras,True
MeanImage,Mean Image,999,3920,210,210,0.9941326379776001,0.9714285731315613,0.10879285633563995,0.9809523820877075,98.09523809523809,0.9818548387096774,0.9809523809523809,0.9808471469525214,0.9818548387096774,0.9809523809523809,0.9808471469525215,0.09501493722200394,66.31435793408725,81.22531544146366,35.23782994265535,2.8616785569054937,28.37859203098943,14782279,67591,14714688,7398.37801062502,2.0551050029513944,"[[27, 0, 1, 0, 2, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 1, 0, 29, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/MeanImage/Models/seed_999_best.keras,True
MeanImage,Mean Image,2025,3920,210,210,0.9915816187858582,0.976190447807312,0.11000671237707138,0.9809523820877075,98.09523809523809,0.9817012288786483,0.980952380952381,0.980940464052075,0.9817012288786482,0.9809523809523809,0.9809404640520749,0.05039603263139725,51.61397181745131,45.71306472871674,36.19152138126083,3.335976161720477,27.630780962907462,14782279,67591,14714688,6751.306987000018,1.8753630519444495,"[[28, 0, 1, 0, 1, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 29, 0, 1, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 1, 0, 0, 29]]",/Users/arshraj/Desktop/org_motion/letssee/MeanImage/Models/seed_2025_best.keras,True
MeanImage,Mean Image,777,3920,210,210,0.9890305995941162,0.9952380657196045,0.022919094190001488,0.9952380657196045,99.52380952380952,0.9953917050691244,0.9952380952380953,0.9952367721192396,0.9953917050691244,0.9952380952380953,0.9952367721192394,0.0222456157207489,54.17225457647527,61.80693018067241,36.00279823849199,3.9630718319963045,27.7756188109529,14782279,67591,14714688,7001.800227250002,1.944944507569445,"[[29, 0, 1, 0, 0, 0, 0], [0, 30, 0, 0, 0, 0, 0], [0, 0, 30, 0, 0, 0, 0], [0, 0, 0, 30, 0, 0, 0], [0, 0, 0, 0, 30, 0, 0], [0, 0, 0, 0, 0, 30, 0], [0, 0, 0, 0, 0, 0, 30]]",/Users/arshraj/Desktop/org_motion/letssee/MeanImage/Models/seed_777_best.keras,True
